review_id,text_raw,human_label,human_confidence,reviewer_comment,reviewed_by_student
FINBERT-001,ETF Areas That Make Good Investment Choices for April,positive,high,,
FINBERT-002,7 Real Estate Trends to Megawatch Over the Next Decade And How to Profit From Them,neutral,medium,,
FINBERT-003,7 Stocks to Buy Before the Holidays,positive,medium,,
FINBERT-004,"No hydrocarbons found in key Exxon drilling in Brazil, partner says",negative,high,,
FINBERT-005,Netflix Earnings Preview: 3 Key Questions For the Leading Streamer,neutral,high,,
FINBERT-006,"Delisting renewables company PNE would have a price, says top investor",neutral,medium,,
FINBERT-007,Earnings Preview: The Results Aren’t Just Important for Alibaba Stock,neutral,high,,
FINBERT-008,2 Monster Growth Stocks to Buy Now and Hold,positive,high,,
FINBERT-009,"US STOCKS-Wall St books records, weekly gains on strong jobs report, Pfizer COVID-19 pill cheer",positive,high,,
FINBERT-010,Callon (CPE) Stock Dips 16% Despite Reporting Q1 Earnings Beat,negative,high,,
FINBERT-011,What's Next For Merck Stock After FDA Advisors Back Its Covid-19 Pill?,positive,high,,
FINBERT-012,These 2 Popular Stocks Rely Heavily on China -- and That's Not a Bad Thing,positive,high,,
FINBERT-013,"Zacks Market Edge Highlights: NVIDIA, Broadcom, Texas Instruments, Advanced Micro Devices and Qualcomm",neutral,high,,
FINBERT-014,"Walmart to upgrade 1,400 stores with $9 billion investment",positive,high,,
FINBERT-015,"Why ExxonMobil, Chevron, Kinder Morgan, and Other Energy Stocks Jumped Today",positive,medium,,
FINBERT-016,Why Is Uniti Group's Dividend So High?,neutral,high,,
FINBERT-017,Where Will Autodesk Stock Be in 1 Year?,neutral,high,,
FINBERT-018,GE Announces Actions To De-risk Its Balance Sheet - Quick Facts,positive,high,,
FINBERT-019,"Wells Fargo Maintains Overweight on NVIDIA, Raises Price Target to $290",positive,high,,
FINBERT-020,Insiders Buy the Holdings of NOBL ETF,positive,high,,
FINBERT-021,US STOCKS-Wall Street eyes higher open as investors cheer Apple earnings,positive,high,,
FINBERT-022,Gilead Sciences Inc. Q2 adjusted earnings of $1.11 per share,neutral,high,,
FINBERT-023,3 Super Speculative AI Stocks Not Worth the Risk,negative,high,,
FINBERT-024,EXCLUSIVE-Southwest Airlines expects certification of Boeing's 737 MAX 7 by April - company exec,positive,high,,
FINBERT-025,Disney's Streaming Business Needs Help. Owning All of Hulu Probably Won't Provide It.,negative,high,,
FINBERT-026,Netflix ad-supported plan to launch in November at $7 a month,neutral,high,,
FINBERT-027,United Airlines Stock May Not Be Done Crashing,negative,high,,
FINBERT-028,Is Schwab Fundamental U.S. Broad Market Index ETF (FNDB) a Strong ETF Right Now?,neutral,high,,
FINBERT-029,7 Safe Growth Stocks to Put In Your Buy-and-Hold Portfolio,positive,high,,
FINBERT-030,Italy court annuls Mediaset shareholder vote excluding Vivendi trust,neutral,medium,,
FINBERT-031,Here's What Movie Theaters Are Losing Due to Coronavirus,negative,high,,
FINBERT-032,Why 3M Stock Plunged in August and May Not Recover Soon,negative,high,,
FINBERT-033,Intel forecasts second-quarter revenue above estimates,positive,high,,
FINBERT-034,"Chevron Q4 Profit Up 25%, But Misses Estimates",neutral,high,,
FINBERT-035,"American Tower (AMT) Rides on Wireless Demand, Acquisitions",positive,high,,
FINBERT-036,"XLU, SRE, AEP, EXC: Large Inflows Detected at ETF",positive,high,,
FINBERT-037,Wall Street Analysts Look Bullish on Coke (KO): Should You Buy?,positive,high,,
FINBERT-038,"Advent, Carlyle to consider bid for DuPont's $12 bln unit - Bloomberg News",positive,high,,
FINBERT-039,Hong Kong government ends Disney's option for expanding theme park,negative,high,,
FINBERT-040,Stock Buybacks vs. Dividends: Which is Most Tax-Efficient?,neutral,high,,
FINBERT-041,"Noteworthy Monday Option Activity: AAL, ORCL, GS",neutral,high,,
FINBERT-042,Disney World's Summertime Discount Is More Brilliant Than Desperate,positive,high,,
FINBERT-043,Are Options Traders Betting on a Big Move in Advanced Micro Devices (AMD) Stock?,neutral,high,,
FINBERT-044,How Close Is Wells Fargo to Exiting Its Asset Cap?,neutral,medium,the impact coould leading to both side,
FINBERT-045,Argentina says Chevron to invest $500 mln in Vaca Muerta shale area,positive,high,,
